Model,scenario,region,riverBasin,Variable,Unit,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
GCAM,CORN1BG,Africa_Eastern,Madagascar,LandCover|Forest|Managed,Mha,8.46617,8.12509,8.62921,9.0872,9.51461,9.9217,10.2464,10.5329,10.7718,10.9832,11.1424
GCAM,CORN1BG,Africa_Eastern,Madagascar,LandCover|Forest|Total,Mha,8.46617,8.12509,8.62921,9.0872,9.51461,9.9217,10.2464,10.5329,10.7718,10.9832,11.1424
GCAM,CORN1BG,Africa_Eastern,Madagascar,LandCover|Forest|Unmanaged,Mha,0,0,0,0,0,0,0,0,0,0,0
GCAM,CORN1BG,Africa_Eastern,Madagascar,LandCover|Grassland,Mha,8.88760428,8.72966754,8.71749948,8.70107755,8.67783723,8.64888264,8.61775352,8.58397912,8.548530534,8.506486976,8.463799058
GCAM,CORN1BG,Africa_Eastern,Madagascar,LandCover|OtherArable,Mha,0.61740068,1.88713828,1.87182896,1.8507804,1.82740967,1.79448416,1.76575814,1.73891385,1.71269091,1.67360764,1.63730832
GCAM,CORN1BG,Africa_Eastern,Madagascar,LandCover|OtherNotArable,Mha,0.059326001,0.063473,0.063473,0.063473,0.063473,0.063473,0.063473,0.063473,0.063473,0.063473,0.063473
GCAM,CORN1BG,Africa_Eastern,Madagascar,LandCover|Pasture|Managed,Mha,0.7057863,0.675717,0.7837417,0.8985535,1.0500253,1.2173588,1.4020828,1.6050519,1.8225894,2.0611528,2.3109477
GCAM,CORN1BG,Africa_Eastern,Madagascar,LandCover|Pasture|Total,Mha,37.18766106,37.18539646,36.6182059,36.07166015,35.5551534,35.00565353,34.57152651,34.19130625,33.86311026,33.47085702,33.14128737
GCAM,CORN1BG,Africa_Eastern,Madagascar,LandCover|Pasture|Unmanaged,Mha,36.48187476,36.50967946,35.8344642,35.17310665,34.5051281,33.78829473,33.16944371,32.58625435,32.04052086,31.40970422,30.83033967
GCAM,CORN1BG,Africa_Eastern,Madagascar,LandCover|Shrubland,Mha,0.48518,0.478982,0.478319,0.477421,0.47615,0.474566,0.472861,0.471011,0.469069,0.466764,0.464425
GCAM,CORN1BG,Africa_Eastern,Madagascar,LandCover|Total,Mha,59.17288358,59.1699582,59.1699686,59.16989704,59.16993465,59.1699655,59.16985553,59.16990347,59.17001638,59.16991181,59.17001088
GCAM,CORN1BG,Africa_Eastern,Madagascar,LandUse|Crops|Corn,Mha,0.287454434,0.2159201,0.200086169,0.190263621,0.180077914,0.211844795,0.241004228,0.269151918,0.295928681,0.311138192,0.327015026
GCAM,CORN1BG,Africa_Eastern,Madagascar,LandUse|Crops|EnergyCrops,Mha,0,0,0.020490698,0.039064237,0.065403405,0.092094529,0.101609763,0.111316896,0.120456844,0.130287008,0.140065427
GCAM,CORN1BG,Africa_Eastern,Madagascar,LandUse|Crops|OtherCrops,Mha,1.359824022,1.36541466,1.369506194,1.426527473,1.492593422,1.592858426,1.684487136,1.76583274,1.849479779,2.016103029,2.176792401
GCAM,CORN1BG,Africa_Eastern,Madagascar,LandUse|Crops|OtherGrains,Mha,0.00257154,0.00229534,0.002493357,0.00270348,0.002887722,0.002951858,0.002986764,0.003005818,0.003005696,0.00311844,0.003216788
GCAM,CORN1BG,Africa_Eastern,Madagascar,LandUse|Crops|OtherOilCrops,Mha,0.06556042,0.07146942,0.071617328,0.071416669,0.072222755,0.083436708,0.094987737,0.107239838,0.119347933,0.129910581,0.140473024
